,artikelnr:,text:,jci1.0:,jci1.3:,versie:
22,/Hoofdstuk1/Artikel23," $ Lid1 :  $  Het onderwijs is een voorwerp van de aanhoudende zorg der regering.  $ Lid2 :  $  Het geven van onderwijs is vrij, behoudens het toezicht van de overheid en, voor wat bij de wet aangewezen vormen van onderwijs betreft, het onderzoek naar de bekwaamheid en de zedelijkheid van hen die onderwijs geven, een en ander bij de wet te regelen.  $ Lid3 :  $  Het openbaar onderwijs wordt, met eerbiediging van ieders godsdienst of levensovertuiging, bij de wet geregeld.  $ Lid4 :  $  In elke gemeente en in elk van de openbare lichamen, bedoeld in , wordt van overheidswege voldoend openbaar algemeen vormend lager onderwijs gegeven in een genoegzaam aantal openbare scholen. Volgens bij de wet te stellen regels kan afwijking van deze bepaling worden toegelaten, mits tot het ontvangen van zodanig onderwijs gelegenheid wordt gegeven, al dan niet in een openbare school.artikel 132a In elke gemeente en in elk van de openbare lichamen, bedoeld in , wordt van overheidswege voldoend openbaar algemeen vormend lager onderwijs gegeven in een genoegzaam aantal openbare scholen. Volgens bij de wet te stellen regels kan afwijking van deze bepaling worden toegelaten, mits tot het ontvangen van zodanig onderwijs gelegenheid wordt gegeven, al dan niet in een openbare school.  $ Lid5 :  $  De eisen van deugdelijkheid, aan het geheel of ten dele uit de openbare kas te bekostigen onderwijs te stellen, worden bij de wet geregeld, met inachtneming, voor zover het bijzonder onderwijs betreft, van de vrijheid van richting.  $ Lid6 :  $  Deze eisen worden voor het algemeen vormend lager onderwijs zodanig geregeld, dat de deugdelijkheid van het geheel uit de openbare kas bekostigd bijzonder onderwijs en van het openbaar onderwijs even afdoende wordt gewaarborgd. Bij die regeling wordt met name de vrijheid van het bijzonder onderwijs betreffende de keuze der leermiddelen en de aanstelling der onderwijzers geerbiedigd.  $ Lid7 :  $  Het bijzonder algemeen vormend lager onderwijs, dat aan de bij de wet te stellen voorwaarden voldoet, wordt naar dezelfde maatstaf als het openbaar onderwijs uit de openbare kas bekostigd. De wet stelt de voorwaarden vast, waarop voor het bijzonder algemeen vormend middelbaar en voorbereidend hoger onderwijs bijdragen uit de openbare kas worden verleend.  $ Lid8 :  $  De regering doet jaarlijks van de staat van het onderwijs verslag aan de Staten-Generaal.",1.0:c:BWBR0001840&artikel=23&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=23&z=2018-12-21&g=2018-12-21,21-12-2018
23,/Hoofdstuk2/Paragraaf1/Artikel24,"Het koningschap wordt erfelijk vervuld door de wettige opvolgers van Koning Willem I, Prins van Oranje-Nassau.",1.0:c:BWBR0001840&artikel=24&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=24&z=2018-12-21&g=2018-12-21,21-12-2018
24,/Hoofdstuk2/Paragraaf1/Artikel25,"Het koningschap gaat bij overlijden van de Koning krachtens erfopvolging over op zijn wettige nakomelingen, waarbij het oudste kind voorrang heeft, met plaatsvervulling volgens dezelfde regel. Bij gebreke van eigen nakomelingen gaat het koningschap op gelijke wijze over op de wettige nakomelingen eerst van zijn ouder, dan van zijn grootouder, in de lijn van erfopvolging, voor zover de overleden Koning niet verder bestaand dan in de derde graad van bloedverwantschap.",1.0:c:BWBR0001840&artikel=25&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=25&z=2018-12-21&g=2018-12-21,21-12-2018
25,/Hoofdstuk2/Paragraaf1/Artikel26,"Het kind, waarvan een vrouw zwanger is op het ogenblik van het overlijden van de Koning, wordt voor de erfopvolging als reeds geboren aangemerkt. Komt het dood ter wereld, dan wordt het geacht nooit te hebben bestaan.",1.0:c:BWBR0001840&artikel=26&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=26&z=2018-12-21&g=2018-12-21,21-12-2018
26,/Hoofdstuk2/Paragraaf1/Artikel27,Afstand van het koningschap leidt tot erfopvolging overeenkomstig de regels in de voorgaande artikelen gesteld. Na de afstand geboren kinderen en hun nakomelingen zijn van de erfopvolging uitgesloten.,1.0:c:BWBR0001840&artikel=27&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=27&z=2018-12-21&g=2018-12-21,21-12-2018
27,/Hoofdstuk2/Paragraaf1/Artikel28," $ Lid1 :  $  De Koning, een huwelijk aangaande buiten bij de wet verleende toestemming, doet daardoor afstand van het koningschap.  $ Lid2 :  $  Gaat iemand die het koningschap van de Koning kan berven een zodanig huwelijk aan, dan is hij met de uit dit huwelijk geboren kinderen en hun nakomelingen van de erfopvolging uitgesloten.  $ Lid3 :  $  De Staten-Generaal beraadslagen en besluiten ter zake van een voorstel van wet, strekkende tot het verlenen van toestemming, in verenigde vergadering.",1.0:c:BWBR0001840&artikel=28&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=28&z=2018-12-21&g=2018-12-21,21-12-2018
28,/Hoofdstuk2/Paragraaf1/Artikel29," $ Lid1 :  $  Wanneer uitzonderlijke omstandigheden daartoe nopen, kunnen bij een wet een of meer personen van de erfopvolging worden uitgesloten.  $ Lid2 :  $  Het voorstel daartoe wordt door of vanwege de Koning ingediend. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering. Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen.",1.0:c:BWBR0001840&artikel=29&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=29&z=2018-12-21&g=2018-12-21,21-12-2018
29,/Hoofdstuk2/Paragraaf1/Artikel30," $ Lid1 :  $  Wanneer vooruitzicht bestaat dat een opvolger zal ontbreken, kan deze worden benoemd bij een wet. Het voorstel wordt door of vanwege de Koning ingediend. Na de indiening van het voorstel worden de kamers ontbonden. De nieuwe kamers beraadslagen en besluiten ter zake in verenigde vergadering. Zij kunnen het voorstel alleen aannemen met ten minste twee derden van het aantal uitgebrachte stemmen.  $ Lid2 :  $  Indien bij overlijden van de Koning of bij afstand van het koningschap een opvolger ontbreekt, worden de kamers ontbonden. De nieuwe kamers komen binnen vier maanden na het overlijden of de afstand in verenigde vergadering bijeen ten einde te besluiten omtrent de benoeming van een Koning. Zij kunnen een opvolger alleen benoemen met ten minste twee derden van het aantal uitgebrachte stemmen.",1.0:c:BWBR0001840&artikel=30&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=30&z=2018-12-21&g=2018-12-21,21-12-2018
30,/Hoofdstuk2/Paragraaf1/Artikel31," $ Lid1 :  $  Een benoemde Koning kan krachtens erfopvolging alleen worden opgevolgd door zijn wettige nakomelingen.  $ Lid2 :  $  De bepalingen omtrent de erfopvolging en het eerste lid van dit artikel zijn van overeenkomstige toepassing op een benoemde opvolger, zolang deze nog geen Koning is.",1.0:c:BWBR0001840&artikel=31&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=31&z=2018-12-21&g=2018-12-21,21-12-2018
31,/Hoofdstuk2/Paragraaf1/Artikel32,"Nadat de Koning de uitoefening van het koninklijk gezag heeft aangevangen, wordt hij zodra mogelijk bedigd en ingehuldigd in de hoofdstad Amsterdam in een openbare verenigde vergadering van de Staten-Generaal. Hij zweert of belooft trouw aan de Grondwet en een getrouwe vervulling van zijn ambt. De wet stelt nadere regels vast.",1.0:c:BWBR0001840&artikel=32&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=32&z=2018-12-21&g=2018-12-21,21-12-2018
32,/Hoofdstuk2/Paragraaf1/Artikel33,"De Koning oefent het koninklijk gezag eerst uit, nadat hij de leeftijd van achttien jaar heeft bereikt.",1.0:c:BWBR0001840&artikel=33&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=33&z=2018-12-21&g=2018-12-21,21-12-2018
33,/Hoofdstuk2/Paragraaf1/Artikel34,De wet regelt het ouderlijk gezag en de voogdij over de minderjarige Koning en het toezicht daarop. De Staten-Generaal beraadslagen en besluiten ter zake in verenigde vergadering.,1.0:c:BWBR0001840&artikel=34&g=2018-12-21,jci1.3:c:BWBR0001840&hoofdstuk=2&paragraaf=1&artikel=34&z=2018-12-21&g=2018-12-21,21-12-2018
